"무등동물병원",
"정동물병원",
"전남낙협동물병원","전라남도 나주시 산포면 송림산제길 170","0613368166",
"오산동물병원","경기도 오산시 성호대로 108 (원동)",
"원 종합동물병원","경기도 오산시 대원로 37-1 (원동)",
"25시 종합동물병원","경기도 오산시 성호대로 97 (오산동)","031-378-1114",
"우리동물병원","경기도 오산시 경기대로 178 (원동, 102,103호)","373-8486",
"쥬만지 동물병원","경기도 오산시 청학로 109 (궐동)","3740275",
"미소 동물병원","경기도 오산시 수청로 188 (금암동, 롯데슈퍼)","031-374-2579",
"튼튼동물병원","경기도 오산시 궐리사로 69 (궐동)","031-372-8333",
"저스트벳 동물병원","경기도 오산시 원동로 6 (원동, 파크스퀘어 105~106호)","031-378-1514",
"참동물병원","경기도 오산시 오산로 91-10 (갈곶동, 광성빌딩 101호)","031-374-1275",
"경기동물메디컬센터","경기도 오산시 운천로 3 (원동, 101호, 201호)","031-375-8875",
"혜수애견병원","경기도 의정부시 태평로 124 (의정부동)",
"가능동물병원","경기도 의정부시 가능로 37 (가능동)","875-1476",
"장암종합동물병원","경기도 의정부시 동일로 468 (신곡동)","843-1415",
"사랑동물병원","경기도 의정부시 금신로 317 (신곡동)","847-7335",
"신촌동물병원","경기도 의정부시 신흥로 357-1 (가능동)","877-0675(6)",
"로얄펫동물병원","경기도 의정부시 신흥로 171 (의정부동)","879-4478(9)",
"민락동물병원","경기도 의정부시 용현로 130 (민락동)",
"의정부종합동물병원","경기도 의정부시 시민로 154 (의정부동)","846-9600",
"호원종합동물병원","경기도 의정부시  평화로  374 (호원동)","031-826-8875",
"프라하동물병원","경기도 군포시 용호1로 4, 104호 (당동)","031-391-7075",
"군포굿닥터동물병원","경기도 군포시 고산로 242, 1층 (당동)","031-391-7533",
"진선동물병원","경기도 오산시 성호대로 36 (오산동)",
"오산동물병원","경기도 오산시 성호대로 108 (원동)",
"원 종합동물병원","경기도 오산시 대원로 37-1 (원동)",
"25시 종합동물병원","경기도 오산시 성호대로 97 (오산동)","031-378-1114",
"우리동물병원","경기도 오산시 경기대로 178 (원동, 102,103호)","373-8486",
"쥬만지 동물병원","경기도 오산시 청학로 109 (궐동)","3740275",
"미소 동물병원","경기도 오산시 수청로 188 (금암동, 롯데슈퍼)","031-374-2579",
"튼튼동물병원","경기도 오산시 궐리사로 69 (궐동)","031-372-8333",
"저스트벳 동물병원","경기도 오산시 원동로 6 (원동, 파크스퀘어 105~106호)","031-378-1514",
"참동물병원","경기도 오산시 오산로 91-10 (갈곶동, 광성빌딩 101호)","031-374-1275",
"경기동물메디컬센터","경기도 오산시 운천로 3 (원동, 101호, 201호)","031-375-8875",
"혜수애견병원","경기도 의정부시 태평로 124 (의정부동)",
"가능동물병원","경기도 의정부시 가능로 37 (가능동)","875-1476",
"장암종합동물병원","경기도 의정부시 동일로 468 (신곡동)","843-1415",
"사랑동물병원","경기도 의정부시 금신로 317 (신곡동)","847-7335",
"신촌동물병원","경기도 의정부시 신흥로 357-1 (가능동)","877-0675(6)",
"로얄펫동물병원","경기도 의정부시 신흥로 171 (의정부동)","879-4478(9)",
"민락동물병원","경기도 의정부시 용현로 130 (민락동)",
"의정부종합동물병원","경기도 의정부시 시민로 154 (의정부동)","846-9600",
"호원종합동물병원","경기도 의정부시  평화로  374 (호원동)","031-826-8875",
"녹양동물병원","경기도 의정부시 녹양로 66 (녹양동)","855-0275",
"하나동물병원","경기도 의정부시 부용로 187 (신곡동)",
"프렌즈동물병원","경기도 의정부시 호국로 1300 (의정부동)","845-2500",
"금오동물병원","경기도 의정부시 청사로 37 (금오동,신세계프라자 112호)",
"도그플러스 동물병원","경기도 의정부시 청사로 38, 홈플러스 3층 (금오동)","031-851-7373",
"럭키동물병원","경기도 의정부시 평화로 238 (호원동)","031-875-1559",
"에이스동물메디컬센터","경기도 의정부시 태평로 102-1 (의정부동)",
"오즈동물병원","경기도 의정부시 추동로 9, 206호 (신곡동)","031-840-0075",
"미소 동물병원","경기도 오산시 수청로 188 (금암동, 롯데슈퍼)","031-374-2579",
"튼튼동물병원","경기도 오산시 궐리사로 69 (궐동)","031-372-8333",
"저스트벳 동물병원","경기도 오산시 원동로 6 (원동, 파크스퀘어 105~106호)","031-378-1514",
"참동물병원","경기도 오산시 오산로 91-10 (갈곶동, 광성빌딩 101호)","031-374-1275",
"경기동물메디컬센터","경기도 오산시 운천로 3 (원동, 101호, 201호)","031-375-8875",
"혜수애견병원","경기도 의정부시 태평로 124 (의정부동)",
"가능동물병원","경기도 의정부시 가능로 37 (가능동)","875-1476",
"장암종합동물병원","경기도 의정부시 동일로 468 (신곡동)","843-1415",
"사랑동물병원","경기도 의정부시 금신로 317 (신곡동)","847-7335",
"신촌동물병원","경기도 의정부시 신흥로 357-1 (가능동)","877-0675(6)",
"로얄펫동물병원","경기도 의정부시 신흥로 171 (의정부동)","879-4478(9)",
"민락동물병원","경기도 의정부시 용현로 130 (민락동)",
"의정부종합동물병원","경기도 의정부시 시민로 154 (의정부동)","846-9600",
"호원종합동물병원","경기도 의정부시  평화로  374 (호원동)","031-826-8875",
"녹양동물병원","경기도 의정부시 녹양로 66 (녹양동)","855-0275",
"하나동물병원","경기도 의정부시 부용로 187 (신곡동)",
"프렌즈동물병원","경기도 의정부시 호국로 1300 (의정부동)","845-2500",
"금오동물병원","경기도 의정부시 청사로 37 (금오동,신세계프라자 112호)",
"도그플러스 동물병원","경기도 의정부시 청사로 38, 홈플러스 3층 (금오동)","031-851-7373",
"럭키동물병원","경기도 의정부시 평화로 238 (호원동)","031-875-1559",
"에이스동물메디컬센터","경기도 의정부시 태평로 102-1 (의정부동)",
"오즈동물병원","경기도 의정부시 추동로 9, 206호 (신곡동)","031-840-0075",
"하트만 동물병원","경기도 의정부시 외미로 100 (호원동, 회룡타운 111호)","031-874-7533",
"서울동물병원","경기도 의정부시 용현로 152, 103호 (민락동)","031-852-7733",
"위즈펫동물병원","경기도 의정부시 산단로76번길 116 (용현동, 롯데마트 2층)","031-853-0275",
"제일동물병원","경기도 의정부시 태평로 116 (의정부동)","848-4598",
"햇살동물병원","경기도 의정부시 오목로18번길 2 (용현동, 현대빌딩 2층)","031-827-8275",
"바른동물병원","경기도 의정부시 평화로 559-1 (의정부동, 명빌딩)",
"의정부 24시 IU 동물병원","경기도 의정부시 태평로 52 (의정부동)","031-871-7588",
"가평가축병원","경기도 가평군 가평읍 오리나무길 27 (조은장여관)","582-2412",
"사랑동물병원","경기도 의정부시 금신로 317 (신곡동)","847-7335",
"신촌동물병원","경기도 의정부시 신흥로 357-1 (가능동)","877-0675(6)",
"로얄펫동물병원","경기도 의정부시 신흥로 171 (의정부동)","879-4478(9)",
"민락동물병원","경기도 의정부시 용현로 130 (민락동)",
"의정부종합동물병원","경기도 의정부시 시민로 154 (의정부동)","846-9600",
"호원종합동물병원","경기도 의정부시  평화로  374 (호원동)","031-826-8875",
"녹양동물병원","경기도 의정부시 녹양로 66 (녹양동)","855-0275",
"하나동물병원","경기도 의정부시 부용로 187 (신곡동)",
"프렌즈동물병원","경기도 의정부시 호국로 1300 (의정부동)","845-2500",
"금오동물병원","경기도 의정부시 청사로 37 (금오동,신세계프라자 112호)",
"도그플러스 동물병원","경기도 의정부시 청사로 38, 홈플러스 3층 (금오동)","031-851-7373",
"럭키동물병원","경기도 의정부시 평화로 238 (호원동)","031-875-1559",
"에이스동물메디컬센터","경기도 의정부시 태평로 102-1 (의정부동)",
"오즈동물병원","경기도 의정부시 추동로 9, 206호 (신곡동)","031-840-0075",
"하트만 동물병원","경기도 의정부시 외미로 100 (호원동, 회룡타운 111호)","031-874-7533",
"서울동물병원","경기도 의정부시 용현로 152, 103호 (민락동)","031-852-7733",
"위즈펫동물병원","경기도 의정부시 산단로76번길 116 (용현동, 롯데마트 2층)","031-853-0275",
"제일동물병원","경기도 의정부시 태평로 116 (의정부동)","848-4598",
"햇살동물병원","경기도 의정부시 오목로18번길 2 (용현동, 현대빌딩 2층)","031-827-8275",
"바른동물병원","경기도 의정부시 평화로 559-1 (의정부동, 명빌딩)",
"의정부 24시 IU 동물병원","경기도 의정부시 태평로 52 (의정부동)","031-871-7588",
"가평가축병원","경기도 가평군 가평읍 오리나무길 27 (조은장여관)","582-2412",
"현대가축병원",
"경기동물병원",
"현리동물병원","경기도 가평군 조종면 현창로 70 (현리동물병원)",
"푸른가축병원(산업동물출장진료전문병원)","","031-582-8012",
"가평축산농협 동물병원","경기도 가평군 가평읍 가화로 55-13","031-582-4111",
"선진가축병원(산업동물출장진료전문병원)","경기도 가평군 가평읍 향교로 3","070-8739-6388",
"청평동물병원","경기도 가평군 청평면 청평중앙로 55-1","585-7573",
"설악동물병원","경기도 가평군 설악면 신천중앙로 117","584-3063",
"프렌즈동물병원","경기도 의정부시 호국로 1300 (의정부동)","845-2500",
"금오동물병원","경기도 의정부시 청사로 37 (금오동,신세계프라자 112호)",
"도그플러스 동물병원","경기도 의정부시 청사로 38, 홈플러스 3층 (금오동)","031-851-7373",
"럭키동물병원","경기도 의정부시 평화로 238 (호원동)","031-875-1559",
"에이스동물메디컬센터","경기도 의정부시 태평로 102-1 (의정부동)",
"오즈동물병원","경기도 의정부시 추동로 9, 206호 (신곡동)","031-840-0075",
"하트만 동물병원","경기도 의정부시 외미로 100 (호원동, 회룡타운 111호)","031-874-7533",
"서울동물병원","경기도 의정부시 용현로 152, 103호 (민락동)","031-852-7733",
"위즈펫동물병원","경기도 의정부시 산단로76번길 116 (용현동, 롯데마트 2층)","031-853-0275",
"제일동물병원","경기도 의정부시 태평로 116 (의정부동)","848-4598",
"햇살동물병원","경기도 의정부시 오목로18번길 2 (용현동, 현대빌딩 2층)","031-827-8275",
"바른동물병원","경기도 의정부시 평화로 559-1 (의정부동, 명빌딩)",
"의정부 24시 IU 동물병원","경기도 의정부시 태평로 52 (의정부동)","031-871-7588",
"가평가축병원","경기도 가평군 가평읍 오리나무길 27 (조은장여관)","582-2412",
"현대가축병원",
"경기동물병원",
"현리동물병원","경기도 가평군 조종면 현창로 70 (현리동물병원)",
"푸른가축병원(산업동물출장진료전문병원)","","031-582-8012",
"가평축산농협 동물병원","경기도 가평군 가평읍 가화로 55-13","031-582-4111",
"선진가축병원(산업동물출장진료전문병원)","경기도 가평군 가평읍 향교로 3","070-8739-6388",
"청평동물병원","경기도 가평군 청평면 청평중앙로 55-1","585-7573",
"설악동물병원","경기도 가평군 설악면 신천중앙로 117","584-3063",
"에덴동물병원","전라남도 진도군 진도읍 교동3길 2","061-542-2785",
"진도개메디컬센터","전라남도 진도군 진도읍 성죽골길 37","061-540-6313",
"가람동물병원","경상남도 창원시 마산회원구 3·15대로 846 (합성동)","055-292-7375",
"위드펫동물병원","경상남도 창원시 마산회원구 3·15대로 809 (합성동)","055-296-4400",
"사랑으로동물병원","경상남도 창원시 마산회원구 합성서1길 157 (합성동)","055-253-7507",
"진북동물병원","경상남도 창원시 마산합포구 진북면 학동로 537-48","055-271-7271",
"삼계동물병원","경상남도 창원시 마산회원구 내서읍 경남대로 975-1","055-232-0075",
"24시 팔용feel동물병원","경상남도 창원시 의창구 평산로 102 (팔용동, 녹주빌딩 102~104호)","255-1275",
"위즈펫동물병원","경기도 의정부시 산단로76번길 116 (용현동, 롯데마트 2층)","031-853-0275",
"제일동물병원","경기도 의정부시 태평로 116 (의정부동)","848-4598",
"햇살동물병원","경기도 의정부시 오목로18번길 2 (용현동, 현대빌딩 2층)","031-827-8275",
"바른동물병원","경기도 의정부시 평화로 559-1 (의정부동, 명빌딩)",
"의정부 24시 IU 동물병원","경기도 의정부시 태평로 52 (의정부동)","031-871-7588",
"가평가축병원","경기도 가평군 가평읍 오리나무길 27 (조은장여관)","582-2412",
"현대가축병원",
"경기동물병원",
"현리동물병원","경기도 가평군 조종면 현창로 70 (현리동물병원)",
"푸른가축병원(산업동물출장진료전문병원)","","031-582-8012",
"가평축산농협 동물병원","경기도 가평군 가평읍 가화로 55-13","031-582-4111",
"선진가축병원(산업동물출장진료전문병원)","경기도 가평군 가평읍 향교로 3","070-8739-6388",
"청평동물병원","경기도 가평군 청평면 청평중앙로 55-1","585-7573",
"설악동물병원","경기도 가평군 설악면 신천중앙로 117","584-3063",
"에덴동물병원","전라남도 진도군 진도읍 교동3길 2","061-542-2785",
"진도개메디컬센터","전라남도 진도군 진도읍 성죽골길 37","061-540-6313",
"가람동물병원","경상남도 창원시 마산회원구 3·15대로 846 (합성동)","055-292-7375",
"위드펫동물병원","경상남도 창원시 마산회원구 3·15대로 809 (합성동)","055-296-4400",
"사랑으로동물병원","경상남도 창원시 마산회원구 합성서1길 157 (합성동)","055-253-7507",
"진북동물병원","경상남도 창원시 마산합포구 진북면 학동로 537-48","055-271-7271",
"삼계동물병원","경상남도 창원시 마산회원구 내서읍 경남대로 975-1","055-232-0075",
"24시 팔용feel동물병원","경상남도 창원시 의창구 평산로 102 (팔용동, 녹주빌딩 102~104호)","255-1275",
"경남유우동물병원","경상남도 창원시 의창구 동읍 용잠로 30-6","293-9509",
"남양동물병원","경상남도 창원시 성산구 대정로 102, 2층 204-1호 (남양동, 개나리3차아파트)","281-3105",
"The행복한동물병원","경상남도 창원시 마산회원구 내서읍 호원로 311, 1층 102호 (호계리치프라자)","055-242-8988",
"내서동물병원","경상남도 창원시 마산회원구 내서읍 삼계로 2","055-232-0975",
"이솝동물병원","경상남도 창원시 의창구 의안로 4 (소답동)","055-293-8833",
"용원동물병원","경상남도 창원시 진해구 용원로 36-1 (용원동)","055-543-7523",
"도그플러스 동물병원","경상남도 창원시 의창구 창원대로 415 (팔용동,삼성홈플러스 지하1층)","055-276-8275",
"24시 용동물병원","경상남도 창원시 성산구 단정로 10, 103호 (상남동)","055-286-7511",
"현리동물병원","경기도 가평군 조종면 현창로 70 (현리동물병원)",
"푸른가축병원(산업동물출장진료전문병원)","","031-582-8012",
"가평축산농협 동물병원","경기도 가평군 가평읍 가화로 55-13","031-582-4111",
"선진가축병원(산업동물출장진료전문병원)","경기도 가평군 가평읍 향교로 3","070-8739-6388",
"청평동물병원","경기도 가평군 청평면 청평중앙로 55-1","585-7573",
"설악동물병원","경기도 가평군 설악면 신천중앙로 117","584-3063",
"에덴동물병원","전라남도 진도군 진도읍 교동3길 2","061-542-2785",
"진도개메디컬센터","전라남도 진도군 진도읍 성죽골길 37","061-540-6313",
"가람동물병원","경상남도 창원시 마산회원구 3·15대로 846 (합성동)","055-292-7375",
"위드펫동물병원","경상남도 창원시 마산회원구 3·15대로 809 (합성동)","055-296-4400",
"사랑으로동물병원","경상남도 창원시 마산회원구 합성서1길 157 (합성동)","055-253-7507",
"진북동물병원","경상남도 창원시 마산합포구 진북면 학동로 537-48","055-271-7271",
"삼계동물병원","경상남도 창원시 마산회원구 내서읍 경남대로 975-1","055-232-0075",
"24시 팔용feel동물병원","경상남도 창원시 의창구 평산로 102 (팔용동, 녹주빌딩 102~104호)","255-1275",
"경남유우동물병원","경상남도 창원시 의창구 동읍 용잠로 30-6","293-9509",
"남양동물병원","경상남도 창원시 성산구 대정로 102, 2층 204-1호 (남양동, 개나리3차아파트)","281-3105",
"The행복한동물병원","경상남도 창원시 마산회원구 내서읍 호원로 311, 1층 102호 (호계리치프라자)","055-242-8988",
"내서동물병원","경상남도 창원시 마산회원구 내서읍 삼계로 2","055-232-0975",
"이솝동물병원","경상남도 창원시 의창구 의안로 4 (소답동)","055-293-8833",
"용원동물병원","경상남도 창원시 진해구 용원로 36-1 (용원동)","055-543-7523",
"도그플러스 동물병원","경상남도 창원시 의창구 창원대로 415 (팔용동,삼성홈플러스 지하1층)","055-276-8275",
"24시 용동물병원","경상남도 창원시 성산구 단정로 10, 103호 (상남동)","055-286-7511",
"한강동물병원","경상남도 창원시 마산합포구 월영남로 7 (해운동)","055-241-5005",
"중앙동물병원","경상남도 창원시 성산구 용지로 96, 105호 (중앙동,하이페르상가)","055-263-8275",
"온누리 동물병원","경상남도 창원시 성산구 원이대로 676 (상남동,금탑빌딩 1층)","055-274-7525",
"튼튼동물병원","경상남도 창원시 성산구 용지로133번길 17 (중앙동,1층)","055-287-0279",
"호박동물병원","","296-4400",
"아이파크 24시 동물병원","경상남도 창원시 마산합포구 3·15대로 255, 103호 (중앙동3가)","055-251-3483",
"펫유동물병원","경상남도 창원시 마산회원구 양덕서로 47 (양덕동)","055-295-5014",
"마창진축산농협 동물병원","경상남도 창원시 의창구 천주로12번길 29 (중동)","055-294-3867",
"가람동물병원","경상남도 창원시 마산회원구 3·15대로 846 (합성동)","055-292-7375",
"위드펫동물병원","경상남도 창원시 마산회원구 3·15대로 809 (합성동)","055-296-4400",
"사랑으로동물병원","경상남도 창원시 마산회원구 합성서1길 157 (합성동)","055-253-7507",
"진북동물병원","경상남도 창원시 마산합포구 진북면 학동로 537-48","055-271-7271",
"삼계동물병원","경상남도 창원시 마산회원구 내서읍 경남대로 975-1","055-232-0075",
"24시 팔용feel동물병원","경상남도 창원시 의창구 평산로 102 (팔용동, 녹주빌딩 102~104호)","255-1275",
"경남유우동물병원","경상남도 창원시 의창구 동읍 용잠로 30-6","293-9509",
"남양동물병원","경상남도 창원시 성산구 대정로 102, 2층 204-1호 (남양동, 개나리3차아파트)","281-3105",
"The행복한동물병원","경상남도 창원시 마산회원구 내서읍 호원로 311, 1층 102호 (호계리치프라자)","055-242-8988",
"내서동물병원","경상남도 창원시 마산회원구 내서읍 삼계로 2","055-232-0975",
"이솝동물병원","경상남도 창원시 의창구 의안로 4 (소답동)","055-293-8833",
"용원동물병원","경상남도 창원시 진해구 용원로 36-1 (용원동)","055-543-7523",
"도그플러스 동물병원","경상남도 창원시 의창구 창원대로 415 (팔용동,삼성홈플러스 지하1층)","055-276-8275",
"24시 용동물병원","경상남도 창원시 성산구 단정로 10, 103호 (상남동)","055-286-7511",
"한강동물병원","경상남도 창원시 마산합포구 월영남로 7 (해운동)","055-241-5005",
"중앙동물병원","경상남도 창원시 성산구 용지로 96, 105호 (중앙동,하이페르상가)","055-263-8275",
"온누리 동물병원","경상남도 창원시 성산구 원이대로 676 (상남동,금탑빌딩 1층)","055-274-7525",
"튼튼동물병원","경상남도 창원시 성산구 용지로133번길 17 (중앙동,1층)","055-287-0279",
"호박동물병원","","296-4400",
"아이파크 24시 동물병원","경상남도 창원시 마산합포구 3·15대로 255, 103호 (중앙동3가)","055-251-3483",
"펫유동물병원","경상남도 창원시 마산회원구 양덕서로 47 (양덕동)","055-295-5014",
"마창진축산농협 동물병원","경상남도 창원시 의창구 천주로12번길 29 (중동)","055-294-3867",
"신대방동물병원","경상남도 창원시 성산구 창이대로881번길 11, 101호 (대방동,1층)","055-263-2600",
"경상동물병원","경상남도 창원시 성산구 원이대로 656, 104호 (상남동,대한상가)","055-263-5144",
"웰빙동물병원","경상남도 창원시 성산구 동산로 88 (상남동)","055-262-1209",
"부산우유동물병원","경상남도 창원시 마산회원구 회원동서로 33 (회원동)",
"한솔동물병원","경상남도 창원시 진해구 냉천로 65 (석동)","055-551-0706",
"조항일동물병원","경상남도 창원시 진해구 해원로 34 (이동)","544-9900",
"창원메디컬동물병원","경상남도 창원시 성산구 마디미로73번길 25, 103호 (상남동, 신우주차빌딩)","055-282-0119",
"미래펫 동물병원","경상남도 창원시 성산구 원이대로473번길 28, 103호 (반림동,반송빌딩)","055-262-7590",
"The행복한동물병원","경상남도 창원시 마산회원구 내서읍 호원로 311, 1층 102호 (호계리치프라자)","055-242-8988",
"내서동물병원","경상남도 창원시 마산회원구 내서읍 삼계로 2","055-232-0975",
"이솝동물병원","경상남도 창원시 의창구 의안로 4 (소답동)","055-293-8833",
"용원동물병원","경상남도 창원시 진해구 용원로 36-1 (용원동)","055-543-7523",
"도그플러스 동물병원","경상남도 창원시 의창구 창원대로 415 (팔용동,삼성홈플러스 지하1층)","055-276-8275",
"24시 용동물병원","경상남도 창원시 성산구 단정로 10, 103호 (상남동)","055-286-7511",
"한강동물병원","경상남도 창원시 마산합포구 월영남로 7 (해운동)","055-241-5005",
"중앙동물병원","경상남도 창원시 성산구 용지로 96, 105호 (중앙동,하이페르상가)","055-263-8275",
"온누리 동물병원","경상남도 창원시 성산구 원이대로 676 (상남동,금탑빌딩 1층)","055-274-7525",
"튼튼동물병원","경상남도 창원시 성산구 용지로133번길 17 (중앙동,1층)","055-287-0279",
"호박동물병원","","296-4400",
"아이파크 24시 동물병원","경상남도 창원시 마산합포구 3·15대로 255, 103호 (중앙동3가)","055-251-3483",
"펫유동물병원","경상남도 창원시 마산회원구 양덕서로 47 (양덕동)","055-295-5014",
"마창진축산농협 동물병원","경상남도 창원시 의창구 천주로12번길 29 (중동)","055-294-3867",
"신대방동물병원","경상남도 창원시 성산구 창이대로881번길 11, 101호 (대방동,1층)","055-263-2600",
"경상동물병원","경상남도 창원시 성산구 원이대로 656, 104호 (상남동,대한상가)","055-263-5144",
"웰빙동물병원","경상남도 창원시 성산구 동산로 88 (상남동)","055-262-1209",
"부산우유동물병원","경상남도 창원시 마산회원구 회원동서로 33 (회원동)",
"한솔동물병원","경상남도 창원시 진해구 냉천로 65 (석동)","055-551-0706",
"조항일동물병원","경상남도 창원시 진해구 해원로 34 (이동)","544-9900",
"창원메디컬동물병원","경상남도 창원시 성산구 마디미로73번길 25, 103호 (상남동, 신우주차빌딩)","055-282-0119",
"미래펫 동물병원","경상남도 창원시 성산구 원이대로473번길 28, 103호 (반림동,반송빌딩)","055-262-7590",
"필유동물병원","경상남도 창원시 진해구 해원로 43 (석동)","055-543-0022",
"쿨펫동물병원","경상남도 창원시 진해구 진해대로 762 (석동,롯데마트 2층)","544-8400",
"스카이동물병원","경상남도 창원시 성산구 동산로 122, 2층 208호 (상남동, 스카이웰빙파크)","055-273-0075",
"도그플러스동물병원","경상남도 창원시 마산회원구 삼호로 56 (양덕동, 홈플러스마산점 6층)","055-251-8800",
"길동물병원","경상남도 창원시 성산구 삼정자로43번길 8 (성주동)","055-274-0075",
"경일 동물병원","경상남도 창원시 마산회원구 북성로 347 (회성동)","055-297-1919",
"마리동물병원","경상남도 창원시 마산회원구 내서읍 삼계6길 12, 201호","055-232-2642",
"짱동물병원","","055-275-7005",
"온누리 동물병원","경상남도 창원시 성산구 원이대로 676 (상남동,금탑빌딩 1층)","055-274-7525",
"튼튼동물병원","경상남도 창원시 성산구 용지로133번길 17 (중앙동,1층)","055-287-0279",
"호박동물병원","","296-4400",
"아이파크 24시 동물병원","경상남도 창원시 마산합포구 3·15대로 255, 103호 (중앙동3가)","055-251-3483",
"펫유동물병원","경상남도 창원시 마산회원구 양덕서로 47 (양덕동)","055-295-5014",
"마창진축산농협 동물병원","경상남도 창원시 의창구 천주로12번길 29 (중동)","055-294-3867",
"신대방동물병원","경상남도 창원시 성산구 창이대로881번길 11, 101호 (대방동,1층)","055-263-2600",
"경상동물병원","경상남도 창원시 성산구 원이대로 656, 104호 (상남동,대한상가)","055-263-5144",
"웰빙동물병원","경상남도 창원시 성산구 동산로 88 (상남동)","055-262-1209",
"부산우유동물병원","경상남도 창원시 마산회원구 회원동서로 33 (회원동)",
"한솔동물병원","경상남도 창원시 진해구 냉천로 65 (석동)","055-551-0706",
"조항일동물병원","경상남도 창원시 진해구 해원로 34 (이동)","544-9900",
"창원메디컬동물병원","경상남도 창원시 성산구 마디미로73번길 25, 103호 (상남동, 신우주차빌딩)","055-282-0119",
"미래펫 동물병원","경상남도 창원시 성산구 원이대로473번길 28, 103호 (반림동,반송빌딩)","055-262-7590",
"필유동물병원","경상남도 창원시 진해구 해원로 43 (석동)","055-543-0022",
"쿨펫동물병원","경상남도 창원시 진해구 진해대로 762 (석동,롯데마트 2층)","544-8400",
"스카이동물병원","경상남도 창원시 성산구 동산로 122, 2층 208호 (상남동, 스카이웰빙파크)","055-273-0075",
"도그플러스동물병원","경상남도 창원시 마산회원구 삼호로 56 (양덕동, 홈플러스마산점 6층)","055-251-8800",
"길동물병원","경상남도 창원시 성산구 삼정자로43번길 8 (성주동)","055-274-0075",
"경일 동물병원","경상남도 창원시 마산회원구 북성로 347 (회성동)","055-297-1919",
"마리동물병원","경상남도 창원시 마산회원구 내서읍 삼계6길 12, 201호","055-232-2642",
"짱동물병원","","055-275-7005",
"동인종합동물병원","경상남도 창원시 진해구 안골로 308 (안골동)","055-552-7980",
"한일종합동물병원","경상남도 창원시 마산회원구 양덕로 170 (양덕동)","055-255-7585",
"서울동물병원","경상남도 창원시 성산구 가음로13번길 33, 108호 (남양동, 남양종합상가)","055-274-1400",
"이든 동물메디컬","경상남도 창원시 성산구 마디미서로 46 (상남동)",
"삼진가축병원","경상남도 창원시 마산합포구 진동면 삼진의거대로 634-71","055-271-2050",
"창원중앙가축병원","경상남도 창원시 의창구 천주로 30 (서상동)",
"새마산동물병원","경상남도 창원시 마산합포구 북성로 89 (상남동)","055-246-1749",
"박수의과동물병원","경상남도 창원시 마산회원구 회성남10길 3 (회성동)","055-256-2478",
"웰빙동물병원","경상남도 창원시 성산구 동산로 88 (상남동)","055-262-1209",
"부산우유동물병원","경상남도 창원시 마산회원구 회원동서로 33 (회원동)",
"한솔동물병원","경상남도 창원시 진해구 냉천로 65 (석동)","055-551-0706",
"조항일동물병원","경상남도 창원시 진해구 해원로 34 (이동)","544-9900",
"창원메디컬동물병원","경상남도 창원시 성산구 마디미로73번길 25, 103호 (상남동, 신우주차빌딩)","055-282-0119",
"미래펫 동물병원","경상남도 창원시 성산구 원이대로473번길 28, 103호 (반림동,반송빌딩)","055-262-7590",
"필유동물병원","경상남도 창원시 진해구 해원로 43 (석동)","055-543-0022",
"쿨펫동물병원","경상남도 창원시 진해구 진해대로 762 (석동,롯데마트 2층)","544-8400",
"스카이동물병원","경상남도 창원시 성산구 동산로 122, 2층 208호 (상남동, 스카이웰빙파크)","055-273-0075",
"도그플러스동물병원","경상남도 창원시 마산회원구 삼호로 56 (양덕동, 홈플러스마산점 6층)","055-251-8800",
"길동물병원","경상남도 창원시 성산구 삼정자로43번길 8 (성주동)","055-274-0075",
"경일 동물병원","경상남도 창원시 마산회원구 북성로 347 (회성동)","055-297-1919",
"마리동물병원","경상남도 창원시 마산회원구 내서읍 삼계6길 12, 201호","055-232-2642",
"짱동물병원","","055-275-7005",
"동인종합동물병원","경상남도 창원시 진해구 안골로 308 (안골동)","055-552-7980",
"한일종합동물병원","경상남도 창원시 마산회원구 양덕로 170 (양덕동)","055-255-7585",
"서울동물병원","경상남도 창원시 성산구 가음로13번길 33, 108호 (남양동, 남양종합상가)","055-274-1400",
"이든 동물메디컬","경상남도 창원시 성산구 마디미서로 46 (상남동)",
"삼진가축병원","경상남도 창원시 마산합포구 진동면 삼진의거대로 634-71","055-271-2050",
"창원중앙가축병원","경상남도 창원시 의창구 천주로 30 (서상동)",
"새마산동물병원","경상남도 창원시 마산합포구 북성로 89 (상남동)","055-246-1749",
"박수의과동물병원","경상남도 창원시 마산회원구 회성남10길 3 (회성동)","055-256-2478",
"창생동물병원","경상남도 창원시 마산회원구 3·15대로 593 (석전동)","055-299-0075",
"고려동물병원","경상남도 창원시 의창구 지귀로 16 (봉곡동)","055-238-6520",
"산호동물병원","경상남도 창원시 마산합포구 삼호로 55 (산호동)","055-247-7202",
"부산동물병원","경상남도 창원시 마산합포구 3·15대로 437 (상남동)","055-243-8104",
"창원동물병원","경상남도 창원시 의창구 원이대로 277 (봉곡동)","055-238-5457",
"진해동물병원","경상남도 창원시 진해구 해원로 5 (이동)","543-1123",
"마산가축병원","경상남도 창원시 마산회원구 회성남5길 3 (회성동)","055-255-5459",
"이화동물병원","경상남도 창원시 마산합포구 3·15대로 424 (상남동)","055-245-8499",
"스카이동물병원","경상남도 창원시 성산구 동산로 122, 2층 208호 (상남동, 스카이웰빙파크)","055-273-0075",
