"월성가축병원","경상북도 경주시 건천읍 내서로 1125",
"LART ACADEMY","경기도 남양주시 와부읍 덕소로97번길 34-1, 104호 (주공아파트 상가)",
"힐링동물병원","경상남도 사천시 벌리로 21 (벌리동, 힐링동물병원)","055-835-9775",
"부평프라임동물병원","인천광역시 부평구 경원대로 1442, 1층 (부평동, 정은빌딩)","032-715-7587",
"어울림동물병원","경기도 용인시 수지구 신봉2로 115-46, 1층 (신봉동)","031-548-2911",
"금비동물병원","충청남도 공주시 관골1길 63 (신관동)","041-856-8082",
"e-동물 메디컬 센터","전라남도 무안군 삼향읍 남악2로74번가길 4-11",
"VIP동물의료센터 서초동작점","서울특별시 서초구 동작대로 36, 1,2층 (방배동, 대광빌딩)","02-525-3102",
"한동물병원","경기도 평택시 오성면 숙성시장길 65 (명성빌라)","031-692-2250",
"베스트 동물병원","대전광역시 유성구 월드컵대로 300, 102호 (상대동)","042-822-7515",
"멍멍냐옹동물병원","인천광역시 남동구 인하로507번길 42 (구월동)",
"나라동물병원","충청북도 청주시 서원구 사직대로 254 (사직동)",
"문 동물병원","전라북도 장수군 장수읍 군청길 16",
"해밀동물병원","경기도 고양시 일산동구 고양대로 1139 (식사동)","0319662777",
"불당동물병원","충청남도 천안시 서북구 검은들3길 48 (불당동, 현대프라자)","041-523-0079",
"조이동물병원 제니스점","경기도 고양시 일산서구 일현로 97-11 (탄현동, 일산 위브더제니스)","031-925-1175",
"죽전예담동물병원","경기도 용인시 수지구 대지로 58 (죽전동, 선진포리스트)","031-264-7502",
"호계동물병원","울산광역시 북구 호계로 365-1 (신천동)","052-265-8275",
"사랑동물병원","경기도 연천군 전곡읍 전곡로 140","832-7771",
"위즈펫동물병원","서울특별시 송파구 올림픽로35가길 16, B16호 (신천동, 홈플러스잠실점)","02-471-8275",
"펫파라다이스 동물병원","경기도 군포시 번영로 485, 6층 (산본동, 롯데피트인)","031-689-3124",
"너와 나 동물병원","경기도 평택시 현촌1로 52 (용이동)","031-691-4275",
"웰 동물병원","인천광역시 연수구 먼우금로 189 (청학동, 소망글로벌)","032-819-2852",
"LART ACADEMY","경기도 남양주시 와부읍 덕소로97번길 34-1, 104호 (주공아파트 상가)",
"힐링동물병원","경상남도 사천시 벌리로 21 (벌리동, 힐링동물병원)","055-835-9775",
"부평프라임동물병원","인천광역시 부평구 경원대로 1442, 1층 (부평동, 정은빌딩)","032-715-7587",
"어울림동물병원","경기도 용인시 수지구 신봉2로 115-46, 1층 (신봉동)","031-548-2911",
"금비동물병원","충청남도 공주시 관골1길 63 (신관동)","041-856-8082",
"e-동물 메디컬 센터","전라남도 무안군 삼향읍 남악2로74번가길 4-11",
"VIP동물의료센터 서초동작점","서울특별시 서초구 동작대로 36, 1,2층 (방배동, 대광빌딩)","02-525-3102",
"한동물병원","경기도 평택시 오성면 숙성시장길 65 (명성빌라)","031-692-2250",
"베스트 동물병원","대전광역시 유성구 월드컵대로 300, 102호 (상대동)","042-822-7515",
"멍멍냐옹동물병원","인천광역시 남동구 인하로507번길 42 (구월동)",
"나라동물병원","충청북도 청주시 서원구 사직대로 254 (사직동)",
"문 동물병원","전라북도 장수군 장수읍 군청길 16",
"해밀동물병원","경기도 고양시 일산동구 고양대로 1139 (식사동)","0319662777",
"불당동물병원","충청남도 천안시 서북구 검은들3길 48 (불당동, 현대프라자)","041-523-0079",
"위즈펫 동물병원","경기도 하남시 미사대로 750, G243호 (신장동, 스타필드하남)","8072-8273",
"서울동물심장병원","서울특별시 강남구 언주로 542, 1층 (역삼동, ENP Tower)",
"한울산업동물병원","충청남도 예산군 고덕면 대천3길 30",
"아미칼동물병원","서울특별시 강남구 남부순환로 2936, 108호 (대치동, 윈플러스상가)","02-565-5023",
"올바른동물병원","서울특별시 강동구 올림픽로 787, 1층 (암사동, 태성프라자)","02-428-1661",
"포유동물병원","서울특별시 성북구 오패산로 22 (하월곡동)","912-6555",
"솔펫 동물병원","대전광역시 동구 동대전로 141 (자양동, 우송 제2교육원)","042-622-7525",
"쿨펫동물병원(이마트 중동점)","경기도 부천시 석천로 188 (중동, 이마트)","0323259617",
"LART ACADEMY","경기도 남양주시 와부읍 덕소로97번길 34-1, 104호 (주공아파트 상가)",
"힐링동물병원","경상남도 사천시 벌리로 21 (벌리동, 힐링동물병원)","055-835-9775",
"부평프라임동물병원","인천광역시 부평구 경원대로 1442, 1층 (부평동, 정은빌딩)","032-715-7587",
"어울림동물병원","경기도 용인시 수지구 신봉2로 115-46, 1층 (신봉동)","031-548-2911",
"금비동물병원","충청남도 공주시 관골1길 63 (신관동)","041-856-8082",
"e-동물 메디컬 센터","전라남도 무안군 삼향읍 남악2로74번가길 4-11",
"VIP동물의료센터 서초동작점","서울특별시 서초구 동작대로 36, 1,2층 (방배동, 대광빌딩)","02-525-3102",
"한동물병원","경기도 평택시 오성면 숙성시장길 65 (명성빌라)","031-692-2250",
"베스트 동물병원","대전광역시 유성구 월드컵대로 300, 102호 (상대동)","042-822-7515",
"멍멍냐옹동물병원","인천광역시 남동구 인하로507번길 42 (구월동)",
"나라동물병원","충청북도 청주시 서원구 사직대로 254 (사직동)",
"문 동물병원","전라북도 장수군 장수읍 군청길 16",
"해밀동물병원","경기도 고양시 일산동구 고양대로 1139 (식사동)","0319662777",
"불당동물병원","충청남도 천안시 서북구 검은들3길 48 (불당동, 현대프라자)","041-523-0079",
"위즈펫 동물병원","경기도 하남시 미사대로 750, G243호 (신장동, 스타필드하남)","8072-8273",
"서울동물심장병원","서울특별시 강남구 언주로 542, 1층 (역삼동, ENP Tower)",
"한울산업동물병원","충청남도 예산군 고덕면 대천3길 30",
"아미칼동물병원","서울특별시 강남구 남부순환로 2936, 108호 (대치동, 윈플러스상가)","02-565-5023",
"올바른동물병원","서울특별시 강동구 올림픽로 787, 1층 (암사동, 태성프라자)","02-428-1661",
"포유동물병원","서울특별시 성북구 오패산로 22 (하월곡동)","912-6555",
"솔펫 동물병원","대전광역시 동구 동대전로 141 (자양동, 우송 제2교육원)","042-622-7525",
"쿨펫동물병원(이마트 중동점)","경기도 부천시 석천로 188 (중동, 이마트)","0323259617",
"국립축산과학원 한우연구소 동물병원","강원도 평창군 대관령면 경강로 4937 (한우시험장)","0333300617",
"개와냥이동물병원","서울특별시 은평구 통일로 727-5, 2층 (대조동)","02-352-7275",
"바다동물병원(Bada Animal Hospital)","서울특별시 용산구 서빙고로 67, 지하1층 비21호 (용산동5가, 파크타워)","02-792-2561",
"애플펫 동물병원","경기도 광주시 오포읍 태재로 21","031-726-4800",
"신원동물메디컬센터","경기도 고양시 덕양구 신원로1길 42, 1층 (신원동)","02-381-0507",
"박영학동물병원","경상북도 상주시 복룡3길 48 (복룡동)","0545319930",
"금호동물병원","서울특별시 성동구 금호로 105, 비201호 (금호동2가, 래미안하이리버 상가동)",
"신당햇살동물병원","서울특별시 성동구 행당로1길 23, 1층 (금호동1가)","02-2299-4696",
"베스트 동물병원","대전광역시 유성구 월드컵대로 300, 102호 (상대동)","042-822-7515",
"멍멍냐옹동물병원","인천광역시 남동구 인하로507번길 42 (구월동)",
"나라동물병원","충청북도 청주시 서원구 사직대로 254 (사직동)",
"문 동물병원","전라북도 장수군 장수읍 군청길 16",
"해밀동물병원","경기도 고양시 일산동구 고양대로 1139 (식사동)","0319662777",
"불당동물병원","충청남도 천안시 서북구 검은들3길 48 (불당동, 현대프라자)","041-523-0079",
"위즈펫 동물병원","경기도 하남시 미사대로 750, G243호 (신장동, 스타필드하남)","8072-8273",
"서울동물심장병원","서울특별시 강남구 언주로 542, 1층 (역삼동, ENP Tower)",
"한울산업동물병원","충청남도 예산군 고덕면 대천3길 30",
"아미칼동물병원","서울특별시 강남구 남부순환로 2936, 108호 (대치동, 윈플러스상가)","02-565-5023",
"올바른동물병원","서울특별시 강동구 올림픽로 787, 1층 (암사동, 태성프라자)","02-428-1661",
"포유동물병원","서울특별시 성북구 오패산로 22 (하월곡동)","912-6555",
"솔펫 동물병원","대전광역시 동구 동대전로 141 (자양동, 우송 제2교육원)","042-622-7525",
"쿨펫동물병원(이마트 중동점)","경기도 부천시 석천로 188 (중동, 이마트)","0323259617",
"국립축산과학원 한우연구소 동물병원","강원도 평창군 대관령면 경강로 4937 (한우시험장)","0333300617",
"개와냥이동물병원","서울특별시 은평구 통일로 727-5, 2층 (대조동)","02-352-7275",
"바다동물병원(Bada Animal Hospital)","서울특별시 용산구 서빙고로 67, 지하1층 비21호 (용산동5가, 파크타워)","02-792-2561",
"애플펫 동물병원","경기도 광주시 오포읍 태재로 21","031-726-4800",
"신원동물메디컬센터","경기도 고양시 덕양구 신원로1길 42, 1층 (신원동)","02-381-0507",
"박영학동물병원","경상북도 상주시 복룡3길 48 (복룡동)","0545319930",
"금호동물병원","서울특별시 성동구 금호로 105, 비201호 (금호동2가, 래미안하이리버 상가동)",
"신당햇살동물병원","서울특별시 성동구 행당로1길 23, 1층 (금호동1가)","02-2299-4696",
"한성동물병원","경상북도 영주시 대학로164번길 8 (가흥동)","054-636-7582",
"노터스","경기도 구리시 동구릉로460번길 48 (사노동, 제조업소)","031-572-8899",
"정다운동물병원","경기도 시흥시 중심상가로 146, 105호 (정왕동, 한일프라자)","031-498-7582",
"대치동물의료센터","서울특별시 강남구 도곡로 439, 1층 (대치동, 신화빌딩)","02-501-8275",
"마곡나무 동물병원","서울특별시 강서구 마곡중앙1로 72, 1014동 103호 (마곡동, 마곡엠밸리10단지)","2661-7515",
"아마존 동물병원","인천광역시 계양구 장제로 873, 101호 (임학동)","555-7502,010-2498-19",
"나을동물병원","서울특별시 동작구 사당로 196, 1층 102호 (사당동, 거묵프리미엄 상가)","02-521-5775",
"라온동물병원","서울특별시 마포구 월드컵북로 151, 1층 (성산동, 성미빌딩)","023757575",
"한울산업동물병원","충청남도 예산군 고덕면 대천3길 30",
"아미칼동물병원","서울특별시 강남구 남부순환로 2936, 108호 (대치동, 윈플러스상가)","02-565-5023",
"올바른동물병원","서울특별시 강동구 올림픽로 787, 1층 (암사동, 태성프라자)","02-428-1661",
"포유동물병원","서울특별시 성북구 오패산로 22 (하월곡동)","912-6555",
"솔펫 동물병원","대전광역시 동구 동대전로 141 (자양동, 우송 제2교육원)","042-622-7525",
"쿨펫동물병원(이마트 중동점)","경기도 부천시 석천로 188 (중동, 이마트)","0323259617",
"국립축산과학원 한우연구소 동물병원","강원도 평창군 대관령면 경강로 4937 (한우시험장)","0333300617",
"개와냥이동물병원","서울특별시 은평구 통일로 727-5, 2층 (대조동)","02-352-7275",
"바다동물병원(Bada Animal Hospital)","서울특별시 용산구 서빙고로 67, 지하1층 비21호 (용산동5가, 파크타워)","02-792-2561",
"애플펫 동물병원","경기도 광주시 오포읍 태재로 21","031-726-4800",
"신원동물메디컬센터","경기도 고양시 덕양구 신원로1길 42, 1층 (신원동)","02-381-0507",
"박영학동물병원","경상북도 상주시 복룡3길 48 (복룡동)","0545319930",
"금호동물병원","서울특별시 성동구 금호로 105, 비201호 (금호동2가, 래미안하이리버 상가동)",
"신당햇살동물병원","서울특별시 성동구 행당로1길 23, 1층 (금호동1가)","02-2299-4696",
"한성동물병원","경상북도 영주시 대학로164번길 8 (가흥동)","054-636-7582",
"노터스","경기도 구리시 동구릉로460번길 48 (사노동, 제조업소)","031-572-8899",
"정다운동물병원","경기도 시흥시 중심상가로 146, 105호 (정왕동, 한일프라자)","031-498-7582",
"대치동물의료센터","서울특별시 강남구 도곡로 439, 1층 (대치동, 신화빌딩)","02-501-8275",
"마곡나무 동물병원","서울특별시 강서구 마곡중앙1로 72, 1014동 103호 (마곡동, 마곡엠밸리10단지)","2661-7515",
"아마존 동물병원","인천광역시 계양구 장제로 873, 101호 (임학동)","555-7502,010-2498-19",
"나을동물병원","서울특별시 동작구 사당로 196, 1층 102호 (사당동, 거묵프리미엄 상가)","02-521-5775",
"라온동물병원","서울특별시 마포구 월드컵북로 151, 1층 (성산동, 성미빌딩)","023757575",
"다온동물병원","서울특별시 양천구 중앙로 230 (신정동)","02-2643-8204",
"대구연합동물메디컬센터","대구광역시 수성구 동대구로 36, 3층 (지산동)","053-568-9118",
"서창사랑동물병원","경상남도 양산시 삼호1길 36-13 (삼호동)",
"파라곤동물병원","서울특별시 광진구 광나루로 361, 2동 103호 (군자동, 광진동양파라곤)","02-498-7588",
"미사마이펫","경기도 하남시 미사강변한강로158번길 56, 1층 102호 (망월동)","031-795-7590",
"페토브 동물병원","서울특별시 양천구 목동동로 130 (신정동, 목동신시가지아파트14단지 b상가 117, 118호)","2642-1239",
"그루터기 동물병원","경기도 김포시 풍무로69번길 30, 103호 (풍무동, 그린씨티)",
"하나동물병원","서울특별시 양천구 목동서로 387, 106호 (신정동, 세림프라자)","02-2645-7611",
"바다동물병원(Bada Animal Hospital)","서울특별시 용산구 서빙고로 67, 지하1층 비21호 (용산동5가, 파크타워)","02-792-2561",
"애플펫 동물병원","경기도 광주시 오포읍 태재로 21","031-726-4800",
"신원동물메디컬센터","경기도 고양시 덕양구 신원로1길 42, 1층 (신원동)","02-381-0507",
"박영학동물병원","경상북도 상주시 복룡3길 48 (복룡동)","0545319930",
"금호동물병원","서울특별시 성동구 금호로 105, 비201호 (금호동2가, 래미안하이리버 상가동)",
"신당햇살동물병원","서울특별시 성동구 행당로1길 23, 1층 (금호동1가)","02-2299-4696",
"한성동물병원","경상북도 영주시 대학로164번길 8 (가흥동)","054-636-7582",
"노터스","경기도 구리시 동구릉로460번길 48 (사노동, 제조업소)","031-572-8899",
"정다운동물병원","경기도 시흥시 중심상가로 146, 105호 (정왕동, 한일프라자)","031-498-7582",
"대치동물의료센터","서울특별시 강남구 도곡로 439, 1층 (대치동, 신화빌딩)","02-501-8275",
"마곡나무 동물병원","서울특별시 강서구 마곡중앙1로 72, 1014동 103호 (마곡동, 마곡엠밸리10단지)","2661-7515",
"아마존 동물병원","인천광역시 계양구 장제로 873, 101호 (임학동)","555-7502,010-2498-19",
"나을동물병원","서울특별시 동작구 사당로 196, 1층 102호 (사당동, 거묵프리미엄 상가)","02-521-5775",
"라온동물병원","서울특별시 마포구 월드컵북로 151, 1층 (성산동, 성미빌딩)","023757575",
"다온동물병원","서울특별시 양천구 중앙로 230 (신정동)","02-2643-8204",
"대구연합동물메디컬센터","대구광역시 수성구 동대구로 36, 3층 (지산동)","053-568-9118",
"서창사랑동물병원","경상남도 양산시 삼호1길 36-13 (삼호동)",
"파라곤동물병원","서울특별시 광진구 광나루로 361, 2동 103호 (군자동, 광진동양파라곤)","02-498-7588",
"미사마이펫","경기도 하남시 미사강변한강로158번길 56, 1층 102호 (망월동)","031-795-7590",
"페토브 동물병원","서울특별시 양천구 목동동로 130 (신정동, 목동신시가지아파트14단지 b상가 117, 118호)","2642-1239",
"그루터기 동물병원","경기도 김포시 풍무로69번길 30, 103호 (풍무동, 그린씨티)",
"하나동물병원","서울특별시 양천구 목동서로 387, 106호 (신정동, 세림프라자)","02-2645-7611",
"오남동물병원","경기도 남양주시 오남읍 진건오남로 865","031-575-7598",
"야당동물병원","경기도 파주시 경의로 1100, 201호 (야당동, 연세프라자)","031-948-7579",
"가정동물병원","인천광역시 서구 가정로 346 (가정동)","032-575-0833",
"서구동물종합병원","인천광역시 서구 가정로 295 (석남동)","032-576-5726",
"연희동물병원","인천광역시 서구 탁옥로74번길 16 (심곡동)","032-561-4667",
"한마음동물병원","","562-0075",
"이지동물병원","","565-7915",
"우리동물병원","인천광역시 서구 서곶로 349 (연희동)","566-0075",
"정다운동물병원","경기도 시흥시 중심상가로 146, 105호 (정왕동, 한일프라자)","031-498-7582",
"대치동물의료센터","서울특별시 강남구 도곡로 439, 1층 (대치동, 신화빌딩)","02-501-8275",
"마곡나무 동물병원","서울특별시 강서구 마곡중앙1로 72, 1014동 103호 (마곡동, 마곡엠밸리10단지)","2661-7515",
"아마존 동물병원","인천광역시 계양구 장제로 873, 101호 (임학동)","555-7502,010-2498-19",
"나을동물병원","서울특별시 동작구 사당로 196, 1층 102호 (사당동, 거묵프리미엄 상가)","02-521-5775",
"라온동물병원","서울특별시 마포구 월드컵북로 151, 1층 (성산동, 성미빌딩)","023757575",
"다온동물병원","서울특별시 양천구 중앙로 230 (신정동)","02-2643-8204",
"대구연합동물메디컬센터","대구광역시 수성구 동대구로 36, 3층 (지산동)","053-568-9118",
"서창사랑동물병원","경상남도 양산시 삼호1길 36-13 (삼호동)",
"파라곤동물병원","서울특별시 광진구 광나루로 361, 2동 103호 (군자동, 광진동양파라곤)","02-498-7588",
"미사마이펫","경기도 하남시 미사강변한강로158번길 56, 1층 102호 (망월동)","031-795-7590",
"페토브 동물병원","서울특별시 양천구 목동동로 130 (신정동, 목동신시가지아파트14단지 b상가 117, 118호)","2642-1239",
"그루터기 동물병원","경기도 김포시 풍무로69번길 30, 103호 (풍무동, 그린씨티)",
"하나동물병원","서울특별시 양천구 목동서로 387, 106호 (신정동, 세림프라자)","02-2645-7611",
"오남동물병원","경기도 남양주시 오남읍 진건오남로 865","031-575-7598",
"야당동물병원","경기도 파주시 경의로 1100, 201호 (야당동, 연세프라자)","031-948-7579",
"가정동물병원","인천광역시 서구 가정로 346 (가정동)","032-575-0833",
"서구동물종합병원","인천광역시 서구 가정로 295 (석남동)","032-576-5726",
"연희동물병원","인천광역시 서구 탁옥로74번길 16 (심곡동)","032-561-4667",
"한마음동물병원","","562-0075",
"이지동물병원","","565-7915",
"우리동물병원","인천광역시 서구 서곶로 349 (연희동)","566-0075",
"삼성종합동물병원","인천광역시 서구 건지로 269 (석남동)","032-573-0079",
"아이러브독","인천광역시 서구 승학로 244, 110호 (심곡동,제스트빌)","032-566-0038",
"원당동물병원","","032-566-7588",
"화이트동물병원","","032-561-7592",
"굿모닝종합동물병원","인천광역시 서구 신석로 100 (석남동)","032-583-1119",
"예 동물병원",
"예스동물병원","","584-8254",
"쿨펫동물병원",
"서창사랑동물병원","경상남도 양산시 삼호1길 36-13 (삼호동)",
"파라곤동물병원","서울특별시 광진구 광나루로 361, 2동 103호 (군자동, 광진동양파라곤)","02-498-7588",
"미사마이펫","경기도 하남시 미사강변한강로158번길 56, 1층 102호 (망월동)","031-795-7590",
"페토브 동물병원","서울특별시 양천구 목동동로 130 (신정동, 목동신시가지아파트14단지 b상가 117, 118호)","2642-1239",
"그루터기 동물병원","경기도 김포시 풍무로69번길 30, 103호 (풍무동, 그린씨티)",
"하나동물병원","서울특별시 양천구 목동서로 387, 106호 (신정동, 세림프라자)","02-2645-7611",
"오남동물병원","경기도 남양주시 오남읍 진건오남로 865","031-575-7598",
"야당동물병원","경기도 파주시 경의로 1100, 201호 (야당동, 연세프라자)","031-948-7579",
"가정동물병원","인천광역시 서구 가정로 346 (가정동)","032-575-0833",
"서구동물종합병원","인천광역시 서구 가정로 295 (석남동)","032-576-5726",
"연희동물병원","인천광역시 서구 탁옥로74번길 16 (심곡동)","032-561-4667",
"한마음동물병원","","562-0075",
"이지동물병원","","565-7915",
"우리동물병원","인천광역시 서구 서곶로 349 (연희동)","566-0075",
"삼성종합동물병원","인천광역시 서구 건지로 269 (석남동)","032-573-0079",
"아이러브독","인천광역시 서구 승학로 244, 110호 (심곡동,제스트빌)","032-566-0038",
"원당동물병원","","032-566-7588",
"화이트동물병원","","032-561-7592",
"굿모닝종합동물병원","인천광역시 서구 신석로 100 (석남동)","032-583-1119",
"예 동물병원",
"예스동물병원","","584-8254",
"쿨펫동물병원",
"쿨펫동물병원",
"검암동물병원",
"청라건국동물의료센터","인천광역시 서구 중봉대로586번길 22 (연희동)","032-563-0094",
"청라종합동물병원","인천광역시 서구 청라커낼로 252, c동 118, 119호 (경서동)","583-0365",
"청라라임동물병원","인천광역시 서구 청라라임로 102, 102, 103,104호 (연희동)","563-1900",
"메이플동물병원","인천광역시 서구 원당대로 853, 1층 102, 103호 (원당동, 삼정프라자)","561-7508",
"가좌동물병원","인천광역시 서구 원적로 103 (가좌동)","579-7582",
"청라호수 동물메디컬센터","인천광역시 서구 푸른로7번길 2 (경서동)","032-568-0022",
"가정동물병원","인천광역시 서구 가정로 346 (가정동)","032-575-0833",
"서구동물종합병원","인천광역시 서구 가정로 295 (석남동)","032-576-5726",
"연희동물병원","인천광역시 서구 탁옥로74번길 16 (심곡동)","032-561-4667",
"한마음동물병원","","562-0075",
"이지동물병원","","565-7915",
"우리동물병원","인천광역시 서구 서곶로 349 (연희동)","566-0075",
"삼성종합동물병원","인천광역시 서구 건지로 269 (석남동)","032-573-0079",
"아이러브독","인천광역시 서구 승학로 244, 110호 (심곡동,제스트빌)","032-566-0038",
"원당동물병원","","032-566-7588",
"화이트동물병원","","032-561-7592",
"굿모닝종합동물병원","인천광역시 서구 신석로 100 (석남동)","032-583-1119",
"예 동물병원",
"예스동물병원","","584-8254",
"쿨펫동물병원",
"쿨펫동물병원",
"검암동물병원",
"청라건국동물의료센터","인천광역시 서구 중봉대로586번길 22 (연희동)","032-563-0094",
"청라종합동물병원","인천광역시 서구 청라커낼로 252, c동 118, 119호 (경서동)","583-0365",
"청라라임동물병원","인천광역시 서구 청라라임로 102, 102, 103,104호 (연희동)","563-1900",
"메이플동물병원","인천광역시 서구 원당대로 853, 1층 102, 103호 (원당동, 삼정프라자)","561-7508",
"가좌동물병원","인천광역시 서구 원적로 103 (가좌동)","579-7582",
"청라호수 동물메디컬센터","인천광역시 서구 푸른로7번길 2 (경서동)","032-568-0022",
"언양동물병원","울산광역시 울주군 언양읍 헌양길 95-1","262-5411",
"제일동물병원","울산광역시 울주군 삼남면 중평로 79","052-262-4888",
"벧엘동물병원","","052-262-6797",
"대동동물병원","울산광역시 울주군 언양읍 동부8길 19-6","052-262-1076",
"울산축협동물병원","울산광역시 울주군 언양읍 읍성로 20, 나동 1층","052-264-6708",
"통일동물병원","","268-9074",
"범서조은동물병원","","248-7582",
"원동물병원","울산광역시 울주군 언양읍 웃방천5길 14, 바동 104호 (서부상가)","264-7872",
"원당동물병원","","032-566-7588",
"화이트동물병원","","032-561-7592",
"굿모닝종합동물병원","인천광역시 서구 신석로 100 (석남동)","032-583-1119",
"예 동물병원",
"예스동물병원","","584-8254",
"쿨펫동물병원",
"쿨펫동물병원",
"검암동물병원",
"청라건국동물의료센터","인천광역시 서구 중봉대로586번길 22 (연희동)","032-563-0094",
"청라종합동물병원","인천광역시 서구 청라커낼로 252, c동 118, 119호 (경서동)","583-0365",
"청라라임동물병원","인천광역시 서구 청라라임로 102, 102, 103,104호 (연희동)","563-1900",
"메이플동물병원","인천광역시 서구 원당대로 853, 1층 102, 103호 (원당동, 삼정프라자)","561-7508",
"가좌동물병원","인천광역시 서구 원적로 103 (가좌동)","579-7582",
"청라호수 동물메디컬센터","인천광역시 서구 푸른로7번길 2 (경서동)","032-568-0022",
"언양동물병원","울산광역시 울주군 언양읍 헌양길 95-1","262-5411",
"제일동물병원","울산광역시 울주군 삼남면 중평로 79","052-262-4888",
"벧엘동물병원","","052-262-6797",
"대동동물병원","울산광역시 울주군 언양읍 동부8길 19-6","052-262-1076",
"울산축협동물병원","울산광역시 울주군 언양읍 읍성로 20, 나동 1층","052-264-6708",
"통일동물병원","","268-9074",
"범서조은동물병원","","248-7582",
"원동물병원","울산광역시 울주군 언양읍 웃방천5길 14, 바동 104호 (서부상가)","264-7872",
"초록동물병원","울산광역시 울주군 삼남면 상평강변길 3","052-262-6114",
"덕신동물병원","울산광역시 울주군 온산읍 덕신로 269","052-239-7585",
"삼성동물병원","울산광역시 울주군 범서읍 대리2길 49","052-248-7570",
"와우동물병원","울산광역시 울주군 언양읍 읍성로 135","225-0075",
"서울산 동물병원","울산광역시 울주군 삼남면 중남로 72",
"남창미르동물병원","울산광역시 울주군 온양읍 대운길 12","052-238-7511",
"BB동물병원","울산광역시 울주군 범서읍 점촌6길 5","052-211-7599",
"MK동물병원","울산광역시 울주군 온산읍 덕신로 250",
"청라건국동물의료센터","인천광역시 서구 중봉대로586번길 22 (연희동)","032-563-0094",
"청라종합동물병원","인천광역시 서구 청라커낼로 252, c동 118, 119호 (경서동)","583-0365",
"청라라임동물병원","인천광역시 서구 청라라임로 102, 102, 103,104호 (연희동)","563-1900",
"메이플동물병원","인천광역시 서구 원당대로 853, 1층 102, 103호 (원당동, 삼정프라자)","561-7508",
"가좌동물병원","인천광역시 서구 원적로 103 (가좌동)","579-7582",
"청라호수 동물메디컬센터","인천광역시 서구 푸른로7번길 2 (경서동)","032-568-0022",
"언양동물병원","울산광역시 울주군 언양읍 헌양길 95-1","262-5411",
"제일동물병원","울산광역시 울주군 삼남면 중평로 79","052-262-4888",
"벧엘동물병원","","052-262-6797",
"대동동물병원","울산광역시 울주군 언양읍 동부8길 19-6","052-262-1076",
"울산축협동물병원","울산광역시 울주군 언양읍 읍성로 20, 나동 1층","052-264-6708",
"통일동물병원","","268-9074",
"범서조은동물병원","","248-7582",
"원동물병원","울산광역시 울주군 언양읍 웃방천5길 14, 바동 104호 (서부상가)","264-7872",
"초록동물병원","울산광역시 울주군 삼남면 상평강변길 3","052-262-6114",
"덕신동물병원","울산광역시 울주군 온산읍 덕신로 269","052-239-7585",
"삼성동물병원","울산광역시 울주군 범서읍 대리2길 49","052-248-7570",
"와우동물병원","울산광역시 울주군 언양읍 읍성로 135","225-0075",
"서울산 동물병원","울산광역시 울주군 삼남면 중남로 72",
"남창미르동물병원","울산광역시 울주군 온양읍 대운길 12","052-238-7511",
"BB동물병원","울산광역시 울주군 범서읍 점촌6길 5","052-211-7599",
"MK동물병원","울산광역시 울주군 온산읍 덕신로 250",
"삼양가축병원","강원도 횡성군 횡성읍 문정로 12","343-2892",
"유수의과양계병원","강원도 횡성군 횡성읍 어수로 41","343-8380",
"하늘가축병원","강원도 횡성군 횡성읍 태풍로 7","342-4488",
"대한동물병원","강원도 횡성군 횡성읍 중앙로 12","343-8484",
"바이엘종합가축병원","강원도 횡성군 횡성읍 문정로 20-1","343-8380",
"횡성축협동물병원","강원도 횡성군 횡성읍 횡성로 337","343-9907",
"횡성동물병원","강원도 횡성군 횡성읍 횡성로 390","342-7775",
"김재문동물병원","강원도 횡성군 횡성읍 문정로 10-1","343-5450",
"벧엘동물병원","","052-262-6797",
"대동동물병원","울산광역시 울주군 언양읍 동부8길 19-6","052-262-1076",
"울산축협동물병원","울산광역시 울주군 언양읍 읍성로 20, 나동 1층","052-264-6708",
"통일동물병원","","268-9074",
"범서조은동물병원","","248-7582",
"원동물병원","울산광역시 울주군 언양읍 웃방천5길 14, 바동 104호 (서부상가)","264-7872",
"초록동물병원","울산광역시 울주군 삼남면 상평강변길 3","052-262-6114",
"덕신동물병원","울산광역시 울주군 온산읍 덕신로 269","052-239-7585",
"삼성동물병원","울산광역시 울주군 범서읍 대리2길 49","052-248-7570",
"와우동물병원","울산광역시 울주군 언양읍 읍성로 135","225-0075",
"서울산 동물병원","울산광역시 울주군 삼남면 중남로 72",
"남창미르동물병원","울산광역시 울주군 온양읍 대운길 12","052-238-7511",
"BB동물병원","울산광역시 울주군 범서읍 점촌6길 5","052-211-7599",
"MK동물병원","울산광역시 울주군 온산읍 덕신로 250",
"삼양가축병원","강원도 횡성군 횡성읍 문정로 12","343-2892",
"유수의과양계병원","강원도 횡성군 횡성읍 어수로 41","343-8380",
"하늘가축병원","강원도 횡성군 횡성읍 태풍로 7","342-4488",
"대한동물병원","강원도 횡성군 횡성읍 중앙로 12","343-8484",
"바이엘종합가축병원","강원도 횡성군 횡성읍 문정로 20-1","343-8380",
"횡성축협동물병원","강원도 횡성군 횡성읍 횡성로 337","343-9907",
"횡성동물병원","강원도 횡성군 횡성읍 횡성로 390","342-7775",
"김재문동물병원","강원도 횡성군 횡성읍 문정로 10-1","343-5450",
"이명렬가축병원","강원도 횡성군 횡성읍 태기로 6",
